Datetime,username,tweets,emotions
6/6/2021,mamika_co,thansk for choosing us  brg yg di post dah sampai tepat pd waktu nya  self pickup sbb urgent  due to lockdown delivery through grab lalamove only  postage and self pickup available  stay safe at home ,happy
6/6/2021,ShopeeMY,the best of the best sale on your essentials to stay home and stay safe is happening right now  up to  off deals and  coins cashback  dont just add to cart now be sure to check out   shopee my  shopee my ,happy
6/6/2021,TARISTAR8,good news  everyone stay home  stay safe  collectively we can beat it,happy
6/6/2021,ATM_BoonTeik,stay home  stay safe  shop from home  consumer base income  atomy malaysia ,happy
6/6/2021,Langkawi_Drum,visiting  langkawi  malaysia this week  here are my top picks of local stay homestay safe happenings for  june  thru    stay home ,happy
6/6/2021,PopularMalaysia,embark on a magical journey with  leigh bardguo  stay home  check out  popclub e mag now at  to view the full version  enjoy amazing promotions at  popular  online  shadow and bone ,happy
6/6/2021,tedboybakery,stay  home  we  deliver  check out our ongoing promotions to save some money while shopping online   amazing deals are waiting for you  grab it fast before items sold out  shop now   ,happy
6/6/2021,Azmi_Malik1,to play simply switch on your tv browse any channels and watch if youve found something interesting to watch that way you dontneed to leave home and everyone will be safe kitajagakita,happy
6/6/2021,Azmi_Malik1,the idea of this game is to simply to stay home and stay entertained to keep everyone safe kitajagakita,happy
6/6/2021,scientexpulai,here is the prevention that we can do to protect ourselves and others around us  scientex  taman  pulai  mutiara would like to remind everyone  stay  at  home and remember to wear your mask whenever you step outsides  stay  safe and  healthy ,happy
6/6/2021,KiddoYosuke96,we all having stay at home once moredue to high casescant go out,happy
6/6/2021,feline_026,i have to stay at home for online school until th  july and then go back to school in th  july if there is less covid here  i want to just aaaaaaaaaaaaaaaaaaaa,happy
6/6/2021,loey279211,hyee  thankyou for the give away honey  i hope you get straight  as for your upcoming spm result  please stay safe and stay at home  ,happy
6/6/2021,iamBANA,the method on not to get rained on is  you can just avoid dark clouds  keep on running   ah   right you can just stay at home huh  as expected youre smart  i commend you  fuse  i dont know why but i find this cute and funny,happy
6/6/2021,yusrymakmor,stay  safe  stay  at  home  semoga dipermudahkan segala  urusan  boss ,happy
6/6/2021,zettyabdrashid,aktiviti hujung minggu  stay at home stay safe  ,happy
6/6/2021,piqaful,if you register as a new member for this month or next month you can get a haven diffuser for  fre eand many more with tc supply  dm me or click this link  stay safe and stay at home younglivingmalaysia younglivingessentialoils powerofplants,happy
6/6/2021,MitchCho,good afternoon  happy  sunday  dj  everykawan  this video is probably how stress stay home mean   stay safe everyone hooe you are feeling much better today  ,happy
6/6/2021,VectrumT,stay home stay safe,happy
6/6/2021,Shahir_EmirzaII,hello  sunday  stay home stay safe ,happy
6/6/2021,ilibeomie90,penang is like my nd home  dari kecik will always go to  penang  cuti sekolah bln  every year my fmly  my pak sus family with tok wan  tok will go holiday in  penang  semua hotel kat  penang tu dah pnh stay  kecik dlu zmn xde online booking we would go to every hotel tny,happy
6/6/2021,TheOnlyFatin,happy  weekend semorang selamat duduk rumah  keep calm jaga  sop stay at home and lets watch radhe  tontoncinema radhe ,happy
6/6/2021,rimau_ngo,our next stay at home weekend activity is a tiger word search  you can download the  pdf version and answers through the link in our bio ,happy
6/6/2021,msIrumikhoo,dilemma of the day  jimat but risky keluaq pi campus  submitcollect segala suratborang ambik barang poslaju then pi mydin beli barang  safe but expensive stay at home  email everything  order in  poslaju can wait,happy
6/6/2021,PantaiHospAK,stay safe at home and consult your preferred specialist e health is an easy to use private and secure online platform connecting you to our specialists  for more information please click   stay safe  stay home  we serve we heal we care ,happy
6/6/2021,nshameera1,done  thank you sm for the ga  stay safe and stay at home ,happy
6/6/2021,tjayamalarJ,stay  home and enjoy the day with our s movies  remo seemaraja rajinimurugan ,happy
6/6/2021,izaanfly,stay at home and stay safe ging,happy
6/6/2021,ombakvillalgk,stay home stay safe  well see you soon  when was the last time you were out without a face mask  repost ,happy
6/6/2021,Kallang22,i am so sorry to hear that i hope one day you will know the comforting warm of a proper house and a cookedhome meal  stay strong ,happy
6/6/2021,Mohdfirdaus0,stay home stay safe ,happy
6/6/2021,SitiFairuz20,good morning positive sweetheart am here  stay health happy and stay home  sid naaz,happy
5/6/2021,inangbitesn9,sweet tooth for your lockdown day inang  inang  melaka with fully coated  premium  dark  chocolate and sprinkles of almond nibs on the top  super crunchy less sweet and just nice  get yours now and have a great weekend  stay safe and stay at home  inang bites senawang ,happy
5/6/2021,MiltonGohBlog,mind  i should go out and face the danger head on  anyway  god will protect me and  his angels will keep me in all my ways in the spirit  no dont go out today  stay home and the danger shall pass  trust the leading in your spirit  it is  gods protection  be led by peace,happy
5/6/2021,keikichicosplay,our country  malaysia under third lockdown until  june th and it depends on s decision either extend lockdown or terminate as usual  so stay safe and stay at home lets play  genshin impact together  xd ,happy
5/6/2021,eddydaud,stay  home  stay  safe,happy
5/6/2021,devarshiwaghela,world just saw  million deaths and we have all these back to work because someone doesnt know how to use zoom properly and hates their kids  if you cant be productive at your home stop distracting yourself with  instagram  stay home stay safe  work from home productivity,happy
5/6/2021,Ramess_06,stay home stay safe  nanbas and  nanbis,happy
5/6/2021,syedhadzim,adil tu  thing if all are not totally lockdown imagine if as a people we really stay at home only keluar when perlu and if luar dr rumah we really follow social distancing and kerap basuh tgn or sanitize if we follow that insyaallah case leh turun,happy
5/6/2021,eddydaud,seems the lockdown is to buy time as the  gomen ramp up the vaccination rate for us  malaysians  bro  the way out of this pandemic is by vaccinating the population  mean time protect ourselves n family   stay homewear face mask if u go out n lets help push the vaccination program ,happy
5/6/2021,AleyaRahman1,pls la gaisss just  stay at home and shut up close your mouth  and put down your finger plss write  only whats good thing  ,happy
5/6/2021,MewJus,stay home stay gold  how to make use of yr time at home  share your gold ,happy
